trending_date,category_id,numbers
2017-11-14,1,1
2017-11-15,1,1
2017-11-18,1,1
2017-11-19,1,1
2017-11-20,1,1
2017-11-21,1,1
2017-11-24,1,2
2017-11-25,1,3
2017-11-26,1,2
2017-11-27,1,2
2017-11-28,1,2
2017-11-29,1,3
2017-11-30,1,4
2017-12-01,1,3
2017-12-02,1,3
2017-12-03,1,4
2017-12-04,1,5
2017-12-05,1,5
2017-12-06,1,3
2017-12-07,1,3
2017-12-08,1,1
2017-12-09,1,2
2017-12-10,1,2
2017-12-11,1,2
2017-12-12,1,1
2017-12-18,1,2
2017-12-19,1,4
2017-12-20,1,3
2017-12-21,1,4
2017-12-22,1,3
2017-12-23,1,3
2017-12-24,1,3
2017-12-25,1,4
2017-12-26,1,4
2017-12-27,1,4
2017-12-28,1,5
2017-12-29,1,6
2017-12-30,1,5
2017-12-31,1,1
2018-01-01,1,1
2018-01-02,1,2
2018-01-03,1,2
2018-01-04,1,1
2018-01-05,1,1
2018-01-06,1,2
2018-01-07,1,3
2018-01-08,1,2
2018-01-09,1,3
2018-01-12,1,3
2018-01-13,1,3
2018-01-14,1,3
2018-01-15,1,3
2018-01-16,1,2
2018-01-17,1,2
2018-01-18,1,2
2018-01-19,1,2
2018-01-20,1,3
2018-01-21,1,3
2018-01-22,1,2
2018-01-23,1,1
2018-01-24,1,1
2018-01-26,1,2
2018-01-27,1,3
2018-01-28,1,4
2018-01-29,1,3
2018-01-30,1,1
2018-01-31,1,2
2018-02-01,1,2
2018-02-02,1,3
2018-02-03,1,1
2018-02-04,1,1
2018-02-05,1,2
2018-02-06,1,2
2018-02-07,1,2
2018-02-08,1,3
2018-02-09,1,4
2018-02-10,1,4
2018-02-11,1,3
2018-02-12,1,1
2018-02-13,1,1
2018-02-14,1,1
2018-02-15,1,1
2018-02-16,1,1
2018-02-17,1,1
2018-02-21,1,1
2018-02-22,1,2
2018-02-23,1,2
2018-02-24,1,2
2018-02-25,1,2
2018-02-26,1,2
2018-02-27,1,2
2018-02-28,1,1
2018-03-01,1,4
2018-03-02,1,3
2018-03-03,1,3
2018-03-04,1,4
2018-03-05,1,4
2018-03-06,1,4
2018-03-07,1,4
2018-03-08,1,3
2018-03-09,1,3
2018-03-10,1,3
2018-03-11,1,3
2018-03-12,1,7
2018-03-13,1,6
2018-03-14,1,6
2018-03-15,1,6
2018-03-16,1,6
2018-03-17,1,6
2018-03-18,1,6
2018-03-19,1,6
2018-03-20,1,5
2018-03-21,1,5
2018-03-22,1,4
2018-03-23,1,2
2018-03-24,1,2
2018-03-25,1,2
2018-03-26,1,1
2018-03-27,1,1
2018-03-28,1,2
2018-04-06,1,1
2018-04-07,1,2
2018-04-14,1,2
2018-04-15,1,1
2018-04-16,1,1
2018-04-17,1,1
2018-04-18,1,2
2018-04-19,1,3
2018-04-20,1,4
2018-04-21,1,3
2018-04-22,1,3
2018-04-23,1,2
2018-04-24,1,3
2018-04-25,1,3
2018-04-26,1,3
2018-04-27,1,3
2018-04-28,1,2
2018-04-29,1,2
2018-04-30,1,3
2018-05-01,1,2
2018-05-02,1,2
2018-05-03,1,1
2018-05-04,1,1
2018-05-05,1,1
2018-05-06,1,1
2018-05-08,1,3
2018-05-09,1,10
2018-05-10,1,10
2018-05-11,1,12
2018-05-12,1,12
2018-05-13,1,12
2018-05-14,1,13
2018-05-15,1,8
2018-05-16,1,11
2018-05-17,1,11
2018-05-18,1,12
2018-05-19,1,12
2018-05-20,1,12
2018-05-21,1,12
2018-05-22,1,10
2018-05-23,1,10
2018-05-24,1,10
2018-05-25,1,10
2018-05-26,1,10
2018-05-27,1,11
2018-05-28,1,13
2018-05-29,1,13
2018-05-30,1,13
2018-05-31,1,13
2018-06-01,1,13
2018-06-02,1,12
2018-06-03,1,12
2018-06-04,1,13
2018-06-05,1,15
2018-06-06,1,15
2018-06-07,1,15
2018-06-08,1,17
2018-06-09,1,16
2018-06-10,1,16
2018-06-11,1,16
2018-06-12,1,16
2018-06-13,1,15
2018-06-14,1,15
2018-02-18,2,1
2018-02-25,2,5
2018-02-26,2,5
2018-02-27,2,4
2018-02-28,2,4
2018-03-01,2,2
2018-03-02,2,3
2018-03-03,2,3
2018-03-04,2,3
2018-03-05,2,3
2018-03-06,2,1
2018-03-31,2,1
2018-04-01,2,1
2018-04-02,2,1
2018-04-03,2,2
2018-04-04,2,3
2018-04-05,2,3
2018-04-06,2,3
2018-04-07,2,3
2018-04-14,2,3
2018-04-15,2,3
2018-04-16,2,2
2018-04-17,2,2
2018-04-18,2,1
2018-04-19,2,1
2018-04-20,2,1
2018-04-21,2,1
2018-04-22,2,1
2018-04-23,2,1
2018-04-24,2,1
2018-04-25,2,1
2018-05-12,2,1
2018-05-13,2,1
2018-05-15,2,1
2018-05-16,2,1
2018-05-17,2,1
2018-05-18,2,1
2018-05-19,2,1
2018-05-20,2,1
2018-05-21,2,1
2017-11-14,10,21
2017-11-15,10,13
2017-11-16,10,12
2017-11-17,10,12
2017-11-18,10,15
2017-11-19,10,18
2017-11-20,10,18
2017-11-21,10,17
2017-11-22,10,16
2017-11-23,10,13
2017-11-24,10,13
2017-11-25,10,15
2017-11-26,10,16
2017-11-27,10,17
2017-11-28,10,14
2017-11-29,10,12
2017-11-30,10,9
2017-12-01,10,7
2017-12-02,10,16
2017-12-03,10,19
2017-12-04,10,16
2017-12-05,10,14
2017-12-06,10,16
2017-12-07,10,13
2017-12-08,10,9
2017-12-09,10,7
2017-12-10,10,9
2017-12-11,10,10
2017-12-12,10,11
2017-12-13,10,11
2017-12-14,10,13
2017-12-15,10,16
2017-12-16,10,18
2017-12-17,10,19
2017-12-18,10,15
2017-12-19,10,19
2017-12-20,10,16
2017-12-21,10,12
2017-12-22,10,12
2017-12-23,10,8
2017-12-24,10,14
2017-12-25,10,12
