id,channelId,title,assignable
1,UCBR8-60-B28hp2BmDPdntcQ,Film & Animation,True
2,UCBR8-60-B28hp2BmDPdntcQ,Autos & Vehicles,True
10,UCBR8-60-B28hp2BmDPdntcQ,Music,True
15,UCBR8-60-B28hp2BmDPdntcQ,Pets & Animals,True
17,UCBR8-60-B28hp2BmDPdntcQ,Sports,True
18,UCBR8-60-B28hp2BmDPdntcQ,Short Movies,False
19,UCBR8-60-B28hp2BmDPdntcQ,Travel & Events,True
20,UCBR8-60-B28hp2BmDPdntcQ,Gaming,True
21,UCBR8-60-B28hp2BmDPdntcQ,Videoblogging,False
22,UCBR8-60-B28hp2BmDPdntcQ,People & Blogs,True
23,UCBR8-60-B28hp2BmDPdntcQ,Comedy,True
24,UCBR8-60-B28hp2BmDPdntcQ,Entertainment,True
25,UCBR8-60-B28hp2BmDPdntcQ,News & Politics,True
26,UCBR8-60-B28hp2BmDPdntcQ,Howto & Style,True
27,UCBR8-60-B28hp2BmDPdntcQ,Education,True
28,UCBR8-60-B28hp2BmDPdntcQ,Science & Technology,True
29,UCBR8-60-B28hp2BmDPdntcQ,Nonprofits & Activism,True
30,UCBR8-60-B28hp2BmDPdntcQ,Movies,False
31,UCBR8-60-B28hp2BmDPdntcQ,Anime/Animation,False
32,UCBR8-60-B28hp2BmDPdntcQ,Action/Adventure,False
33,UCBR8-60-B28hp2BmDPdntcQ,Classics,False
34,UCBR8-60-B28hp2BmDPdntcQ,Comedy,False
35,UCBR8-60-B28hp2BmDPdntcQ,Documentary,False
36,UCBR8-60-B28hp2BmDPdntcQ,Drama,False
37,UCBR8-60-B28hp2BmDPdntcQ,Family,False
38,UCBR8-60-B28hp2BmDPdntcQ,Foreign,False
39,UCBR8-60-B28hp2BmDPdntcQ,Horror,False
40,UCBR8-60-B28hp2BmDPdntcQ,Sci-Fi/Fantasy,False
41,UCBR8-60-B28hp2BmDPdntcQ,Thriller,False
42,UCBR8-60-B28hp2BmDPdntcQ,Shorts,False
43,UCBR8-60-B28hp2BmDPdntcQ,Shows,False
44,UCBR8-60-B28hp2BmDPdntcQ,Trailers,False
